Search Path:
State: [[5, 6, 3], [8, 4, 2], [1, 9, 7]] Level: 0 F-value:(8, 8)
State: [[5, 6, 3], [4, 8, 2], [1, 9, 7]] Level: 1 F-value:(8, 7)
State: [[5, 6, 3], [4, 8, 2], [1, 7, 9]] Level: 2 F-value:(8, 6)
State: [[5, 6, 3], [4, 8, 2], [7, 1, 9]] Level: 3 F-value:(8, 5)
State: [[5, 6, 3], [4, 1, 2], [7, 8, 9]] Level: 4 F-value:(8, 4)
State: [[5, 6, 3], [4, 7, 2], [1, 8, 9]] Level: 3 F-value:(8, 5)
State: [[5, 6, 3], [4, 9, 2], [1, 8, 7]] Level: 2 F-value:(8, 6)
State: [[5, 6, 3], [8, 4, 2], [1, 7, 9]] Level: 1 F-value:(8, 7)
State: [[5, 6, 3], [8, 4, 2], [7, 1, 9]] Level: 2 F-value:(8, 6)
State: [[5, 6, 3], [4, 2, 1], [7, 8, 9]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [4, 6, 1], [7, 8, 9]] Level: 6 F-value:(9, 3)
State: [[5, 2, 3], [4, 1, 6], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[6, 5, 3], [4, 1, 2], [7, 8, 9]] Level: 5 F-value:(9, 4)
State: [[6, 1, 3], [4, 5, 2], [7, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 6, 3], [4, 5, 2], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[5, 1, 3], [4, 6, 2], [7, 8, 9]] Level: 5 F-value:(9, 4)
State: [[5, 1, 3], [4, 2, 6], [7, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 5, 3], [4, 2, 6], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 8 F-value:(8, 0)
Time taken: 0.04699873924255371
