Search Path:
State: [[1, 7, 6], [9, 4, 8], [2, 3, 5]] Level: 0 F-value:(9.0, 9.0)
State: [[1, 7, 6], [2, 4, 8], [9, 3, 5]] Level: 1 F-value:(9.0, 8.0)
State: [[1, 7, 6], [4, 2, 8], [9, 3, 5]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 2, 6], [4, 7, 8], [9, 3, 5]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 2, 6], [4, 3, 8], [9, 7, 5]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 2, 6], [4, 8, 3], [9, 7, 5]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 2, 3], [4, 8, 6], [9, 7, 5]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 2, 3], [4, 8, 6], [7, 9, 5]] Level: 7 F-value:(9.0, 2.0)
State: [[1, 2, 3], [4, 8, 6], [7, 5, 9]] Level: 8 F-value:(9.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(9.0, 0.0)
Time taken: 0.021998882293701172
