Solution Path:
State: [[7, 8, 2], [9, 5, 4], [6, 3, 1]] Level: 0 F-value:(10.0, 10.0)
State: [[7, 8, 2], [9, 5, 4], [6, 1, 3]] Level: 1 F-value:(10.0, 9.0)
State: [[7, 5, 2], [9, 8, 4], [6, 1, 3]] Level: 2 F-value:(11.0, 9.0)
State: [[7, 5, 2], [9, 1, 4], [6, 8, 3]] Level: 3 F-value:(11.0, 8.0)
State: [[7, 5, 2], [1, 9, 4], [6, 8, 3]] Level: 4 F-value:(11.0, 7.0)
State: [[1, 5, 2], [7, 9, 4], [6, 8, 3]] Level: 5 F-value:(11.0, 6.0)
State: [[1, 5, 2], [7, 4, 9], [6, 8, 3]] Level: 6 F-value:(11.0, 5.0)
State: [[1, 5, 2], [7, 4, 3], [6, 8, 9]] Level: 7 F-value:(11.0, 4.0)
State: [[1, 5, 2], [6, 4, 3], [7, 8, 9]] Level: 8 F-value:(11.0, 3.0)
State: [[1, 5, 2], [4, 6, 3], [7, 8, 9]] Level: 9 F-value:(11.0, 2.0)
State: [[1, 6, 2], [4, 5, 3], [7, 8, 9]] Level: 10 F-value:(12.0, 2.0)
State: [[1, 2, 6], [4, 5, 3], [7, 8, 9]] Level: 11 F-value:(12.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 12 F-value:(12.0, 0.0)
Time taken: 4.239999055862427
