Solution Path:
State: [[3, 9, 6], [8, 2, 7], [5, 1, 4]] Level: 0 F-value:(10.0, 10.0)
State: [[3, 2, 6], [8, 9, 7], [5, 1, 4]] Level: 1 F-value:(10.0, 9.0)
State: [[3, 2, 6], [8, 7, 9], [5, 1, 4]] Level: 2 F-value:(10.0, 8.0)
State: [[3, 2, 6], [8, 1, 9], [5, 7, 4]] Level: 3 F-value:(10.0, 7.0)
State: [[3, 2, 6], [5, 1, 9], [8, 7, 4]] Level: 4 F-value:(10.0, 6.0)
State: [[3, 2, 6], [5, 1, 9], [7, 8, 4]] Level: 5 F-value:(10.0, 5.0)
State: [[3, 2, 6], [5, 1, 4], [7, 8, 9]] Level: 6 F-value:(10.0, 4.0)
State: [[3, 2, 6], [5, 4, 1], [7, 8, 9]] Level: 7 F-value:(11.0, 4.0)
State: [[3, 2, 1], [5, 4, 6], [7, 8, 9]] Level: 8 F-value:(11.0, 3.0)
State: [[3, 2, 1], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(11.0, 2.0)
State: [[3, 1, 2], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(12.0, 2.0)
State: [[1, 3, 2], [4, 5, 6], [7, 8, 9]] Level: 11 F-value:(12.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 12 F-value:(12.0, 0.0)
Time taken: 37.998000144958496
