Solution Path:
State: [[1, 8, 7], [6, 9, 2], [4, 3, 5]] Level: 0 F-value:(9.0, 9.0)
State: [[1, 8, 2], [6, 9, 7], [4, 3, 5]] Level: 1 F-value:(9.0, 8.0)
State: [[1, 8, 2], [6, 3, 7], [4, 9, 5]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 3, 2], [6, 8, 7], [4, 9, 5]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 2, 3], [6, 8, 7], [4, 9, 5]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 2, 3], [6, 8, 7], [4, 5, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 2, 3], [6, 5, 7], [4, 8, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 2, 3], [5, 6, 7], [4, 8, 9]] Level: 7 F-value:(10.0, 3.0)
State: [[1, 2, 3], [5, 7, 6], [4, 8, 9]] Level: 8 F-value:(10.0, 2.0)
State: [[1, 2, 3], [7, 5, 6], [4, 8, 9]] Level: 9 F-value:(10.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(10.0, 0.0)
Time taken: 0.7230002880096436
