Search Path:
State: [[1, 8, 7], [6, 9, 2], [4, 3, 5]] Level: 0 F-value:(9.0, 9.0)
State: [[1, 8, 2], [6, 9, 7], [4, 3, 5]] Level: 1 F-value:(9.0, 8.0)
State: [[1, 8, 2], [6, 3, 7], [4, 9, 5]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 3, 2], [6, 8, 7], [4, 9, 5]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 2, 3], [6, 8, 7], [4, 9, 5]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 2, 3], [6, 8, 5], [4, 9, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 2, 3], [6, 8, 5], [4, 7, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 2, 3], [6, 8, 7], [4, 5, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 2, 3], [6, 5, 7], [4, 8, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 3, 2], [6, 8, 5], [4, 9, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 2], [6, 8, 5], [4, 7, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 3, 2], [6, 8, 7], [4, 5, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 2], [6, 5, 7], [4, 8, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [6, 3, 5], [4, 9, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [6, 3, 5], [4, 7, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [6, 5, 3], [4, 7, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [6, 5, 3], [4, 9, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [6, 7, 3], [4, 9, 5]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [6, 7, 3], [4, 5, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [7, 6, 3], [4, 5, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [4, 6, 3], [7, 5, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 8, 2], [7, 6, 3], [4, 9, 5]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [4, 6, 3], [7, 9, 5]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [6, 3, 7], [4, 5, 9]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [6, 9, 7], [4, 5, 3]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 8, 2], [6, 7, 9], [4, 5, 3]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [7, 6, 9], [4, 5, 3]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [4, 6, 9], [7, 5, 3]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [6, 5, 9], [4, 7, 3]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [6, 5, 7], [4, 9, 3]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [6, 9, 3], [4, 5, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [6, 7, 9], [4, 3, 5]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 8, 2], [7, 6, 9], [4, 3, 5]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 8, 2], [4, 6, 9], [7, 3, 5]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [4, 6, 5], [7, 3, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [4, 5, 6], [7, 3, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 8, 2], [7, 6, 5], [4, 3, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 8, 2], [7, 5, 6], [4, 3, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 8, 2], [6, 3, 9], [4, 7, 5]] Level: 3 F-value:(9.0, 6.0)
