Search Path:
State: [[1, 11, 12, 2], [13, 8, 10, 7], [5, 3, 9, 4], [16, 14, 6, 15]] Level: 0 F-value:(15.0, 15.0)
State: [[1, 11, 2, 12], [13, 8, 10, 7], [5, 3, 9, 4], [16, 14, 6, 15]] Level: 1 F-value:(15.0, 14.0)
State: [[1, 2, 11, 12], [13, 8, 10, 7], [5, 3, 9, 4], [16, 14, 6, 15]] Level: 2 F-value:(15.0, 13.0)
State: [[1, 2, 11, 12], [13, 8, 10, 7], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 3 F-value:(15.0, 12.0)
State: [[1, 2, 11, 12], [13, 8, 3, 7], [5, 9, 10, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 3, 12], [13, 8, 11, 7], [5, 9, 10, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 3, 12], [5, 8, 11, 7], [13, 9, 10, 4], [16, 14, 6, 15]] Level: 6 F-value:(15.0, 9.0)
State: [[1, 2, 11, 12], [5, 8, 3, 7], [13, 9, 10, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [5, 8, 10, 7], [13, 9, 3, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 11, 12], [5, 10, 8, 7], [13, 9, 3, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [5, 10, 7, 8], [13, 9, 3, 4], [16, 14, 6, 15]] Level: 6 F-value:(15.0, 9.0)
State: [[1, 2, 11, 12], [13, 10, 8, 7], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 11, 12], [13, 10, 7, 8], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [13, 10, 8, 7], [5, 3, 9, 4], [16, 14, 6, 15]] Level: 3 F-value:(15.0, 12.0)
State: [[1, 2, 11, 12], [13, 3, 8, 7], [5, 10, 9, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 11, 12], [5, 3, 8, 7], [13, 10, 9, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [5, 3, 7, 8], [13, 10, 9, 4], [16, 14, 6, 15]] Level: 6 F-value:(15.0, 9.0)
State: [[1, 2, 11, 12], [13, 3, 7, 8], [5, 10, 9, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [5, 10, 8, 7], [13, 3, 9, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 11, 12], [5, 10, 7, 8], [13, 3, 9, 4], [16, 14, 6, 15]] Level: 5 F-value:(15.0, 10.0)
State: [[1, 2, 11, 12], [13, 10, 7, 8], [5, 3, 9, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
State: [[1, 2, 11, 12], [5, 8, 10, 7], [13, 3, 9, 4], [16, 14, 6, 15]] Level: 3 F-value:(15.0, 12.0)
State: [[1, 11, 2, 12], [13, 8, 10, 7], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 2 F-value:(15.0, 13.0)
State: [[1, 11, 2, 12], [13, 10, 8, 7], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 3 F-value:(15.0, 12.0)
State: [[1, 11, 2, 12], [13, 10, 7, 8], [5, 9, 3, 4], [16, 14, 6, 15]] Level: 4 F-value:(15.0, 11.0)
