Solution Path:
State: [[8, 2, 5], [7, 6, 1], [4, 9, 3]] Level: 0 F-value:(7.0, 7.0)
State: [[8, 2, 5], [7, 1, 6], [4, 9, 3]] Level: 1 F-value:(7.0, 6.0)
State: [[8, 2, 5], [4, 1, 6], [7, 9, 3]] Level: 2 F-value:(7.0, 5.0)
State: [[8, 1, 5], [4, 2, 6], [7, 9, 3]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 8, 5], [4, 2, 6], [7, 9, 3]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 2, 5], [4, 8, 6], [7, 9, 3]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 2, 5], [4, 8, 6], [7, 3, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 2, 5], [4, 3, 6], [7, 8, 9]] Level: 7 F-value:(9.0, 2.0)
State: [[1, 2, 6], [4, 3, 5], [7, 8, 9]] Level: 8 F-value:(10.0, 2.0)
State: [[1, 2, 6], [4, 5, 3], [7, 8, 9]] Level: 9 F-value:(10.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(10.0, 0.0)
Time taken: 13.801999568939209
