Search Path:
State: [[8, 5, 1], [4, 7, 3], [2, 6, 9]] Level: 0 F-value:(7.0, 7.0)
State: [[8, 5, 1], [4, 6, 3], [2, 7, 9]] Level: 1 F-value:(7.0, 6.0)
State: [[8, 5, 1], [4, 6, 3], [7, 2, 9]] Level: 2 F-value:(7.0, 5.0)
State: [[8, 5, 3], [4, 6, 1], [7, 2, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 5, 3], [4, 1, 6], [7, 2, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[8, 1, 3], [4, 5, 6], [7, 2, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 8, 3], [4, 5, 6], [7, 2, 9]] Level: 6 F-value:(8.0, 2.0)
State: [[8, 6, 1], [4, 5, 3], [7, 2, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 1, 6], [4, 5, 3], [7, 2, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 8, 6], [4, 5, 3], [7, 2, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[4, 5, 1], [8, 6, 3], [7, 2, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 5, 1], [4, 3, 6], [7, 2, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 3, 1], [4, 5, 6], [7, 2, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[8, 1, 5], [4, 6, 3], [7, 2, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 1, 3], [4, 6, 5], [7, 2, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 8, 3], [4, 6, 5], [7, 2, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 8, 5], [4, 6, 3], [7, 2, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[8, 5, 1], [4, 2, 3], [7, 6, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[8, 2, 1], [4, 5, 3], [7, 6, 9]] Level: 4 F-value:(8.0, 4.0)
