Solution Path:
State: [[9, 4, 5], [3, 1, 6], [2, 8, 7]] Level: 0 F-value:(18, 18)
State: [[3, 4, 5], [9, 1, 6], [2, 8, 7]] Level: 1 F-value:(14, 13)
State: [[3, 4, 5], [2, 1, 6], [9, 8, 7]] Level: 2 F-value:(12, 10)
State: [[3, 1, 5], [2, 4, 6], [9, 8, 7]] Level: 3 F-value:(10, 7)
State: [[3, 1, 5], [2, 4, 6], [8, 9, 7]] Level: 4 F-value:(10, 6)
State: [[3, 1, 5], [2, 4, 6], [8, 7, 9]] Level: 5 F-value:(10, 5)
State: [[3, 1, 5], [2, 4, 6], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[2, 1, 5], [3, 4, 6], [7, 8, 9]] Level: 7 F-value:(10, 3)
State: [[1, 2, 5], [3, 4, 6], [7, 8, 9]] Level: 8 F-value:(10, 2)
State: [[1, 5, 2], [3, 4, 6], [7, 8, 9]] Level: 9 F-value:(12, 3)
State: [[1, 4, 2], [3, 5, 6], [7, 8, 9]] Level: 10 F-value:(12, 2)
State: [[1, 4, 2], [5, 3, 6], [7, 8, 9]] Level: 11 F-value:(14, 3)
State: [[1, 3, 2], [5, 4, 6], [7, 8, 9]] Level: 12 F-value:(14, 2)
State: [[1, 2, 3], [5, 4, 6], [7, 8, 9]] Level: 13 F-value:(14, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 14 F-value:(14, 0)
Time taken: 5.050999641418457
