Search Path:
State: [[5, 6, 9], [7, 3, 8], [4, 2, 1]] Level: 0 F-value:(9.0, 9.0)
State: [[5, 6, 9], [7, 3, 1], [4, 2, 8]] Level: 1 F-value:(9.0, 8.0)
State: [[5, 6, 1], [7, 3, 9], [4, 2, 8]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 1, 6], [7, 3, 9], [4, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 5, 6], [7, 3, 9], [4, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 6], [7, 5, 9], [4, 2, 8]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 3, 6], [4, 5, 9], [7, 2, 8]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 5, 6], [4, 3, 9], [7, 2, 8]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 1, 6], [4, 3, 9], [7, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 1], [4, 3, 9], [7, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 3, 1], [4, 6, 9], [7, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 1, 3], [4, 6, 9], [7, 2, 8]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 5, 3], [4, 6, 9], [7, 2, 8]] Level: 6 F-value:(9.0, 3.0)
State: [[5, 3, 1], [7, 6, 9], [4, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 1, 3], [7, 6, 9], [4, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 5, 3], [7, 6, 9], [4, 2, 8]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 3, 9], [7, 6, 1], [4, 2, 8]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 3, 9], [4, 6, 1], [7, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 3, 9], [4, 1, 6], [7, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 3, 9], [7, 1, 6], [4, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 9], [7, 1, 3], [4, 2, 8]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 6, 3], [7, 1, 9], [4, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 3], [4, 1, 9], [7, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 1, 9], [7, 6, 3], [4, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 1, 9], [4, 6, 3], [7, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 5, 9], [4, 6, 3], [7, 2, 8]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 5, 9], [7, 6, 3], [4, 2, 8]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 9], [4, 1, 3], [7, 2, 8]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 9], [4, 3, 1], [7, 2, 8]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 6, 9], [7, 8, 3], [4, 2, 1]] Level: 1 F-value:(9.0, 8.0)
State: [[5, 6, 9], [7, 2, 3], [4, 8, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 2, 9], [7, 6, 3], [4, 8, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 2, 3], [7, 6, 9], [4, 8, 1]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 2, 3], [7, 6, 1], [4, 8, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 2, 3], [7, 1, 6], [4, 8, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[5, 2, 3], [4, 1, 6], [7, 8, 9]] Level: 7 F-value:(9.0, 2.0)
State: [[5, 2, 3], [4, 6, 1], [7, 8, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[5, 2, 3], [4, 6, 9], [7, 8, 1]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 2, 9], [4, 6, 3], [7, 8, 1]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 9], [4, 2, 3], [7, 8, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 3], [4, 2, 9], [7, 8, 1]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 3], [4, 2, 1], [7, 8, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 6, 3], [7, 2, 9], [4, 8, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 3], [7, 2, 1], [4, 8, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 9], [4, 8, 3], [7, 2, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 6, 3], [4, 8, 9], [7, 2, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 3], [4, 8, 1], [7, 2, 9]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 6, 3], [7, 8, 9], [4, 2, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 6, 3], [7, 8, 1], [4, 2, 9]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 6, 9], [4, 3, 8], [7, 2, 1]] Level: 1 F-value:(9.0, 8.0)
State: [[5, 3, 9], [4, 6, 8], [7, 2, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 3, 9], [4, 8, 6], [7, 2, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 3, 9], [4, 2, 6], [7, 8, 1]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 3, 9], [7, 6, 8], [4, 2, 1]] Level: 1 F-value:(9.0, 8.0)
State: [[5, 3, 9], [7, 8, 6], [4, 2, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 3, 9], [7, 2, 6], [4, 8, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[4, 2, 3], [5, 1, 6], [7, 8, 9]] Level: 8 F-value:(10.0, 2.0)
State: [[4, 2, 3], [1, 5, 6], [7, 8, 9]] Level: 9 F-value:(10.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(10.0, 0.0)
Time taken: 0.34000515937805176
