Solution Path:
State: [[5, 6, 9], [7, 3, 8], [4, 2, 1]] Level: 0 F-value:(9.0, 9.0)
State: [[5, 6, 9], [7, 8, 3], [4, 2, 1]] Level: 1 F-value:(9.0, 8.0)
State: [[5, 6, 9], [7, 2, 3], [4, 8, 1]] Level: 2 F-value:(9.0, 7.0)
State: [[5, 2, 9], [7, 6, 3], [4, 8, 1]] Level: 3 F-value:(9.0, 6.0)
State: [[5, 2, 3], [7, 6, 9], [4, 8, 1]] Level: 4 F-value:(9.0, 5.0)
State: [[5, 2, 3], [7, 6, 1], [4, 8, 9]] Level: 5 F-value:(9.0, 4.0)
State: [[5, 2, 3], [7, 1, 6], [4, 8, 9]] Level: 6 F-value:(9.0, 3.0)
State: [[5, 2, 3], [4, 1, 6], [7, 8, 9]] Level: 7 F-value:(9.0, 2.0)
State: [[4, 2, 3], [5, 1, 6], [7, 8, 9]] Level: 8 F-value:(10.0, 2.0)
State: [[4, 2, 3], [1, 5, 6], [7, 8, 9]] Level: 9 F-value:(10.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(10.0, 0.0)
Time taken: 0.34000515937805176
