Search Path:
State: [[5, 6, 9], [7, 3, 8], [4, 2, 1]] Level: 0 F-value:(9, 9)
State: [[5, 6, 9], [4, 3, 8], [7, 2, 1]] Level: 1 F-value:(8, 7)
State: [[5, 6, 9], [4, 3, 1], [7, 2, 8]] Level: 2 F-value:(9, 7)
State: [[5, 6, 9], [4, 3, 1], [7, 8, 2]] Level: 3 F-value:(9, 6)
State: [[5, 6, 9], [4, 3, 8], [7, 1, 2]] Level: 2 F-value:(9, 7)
State: [[5, 6, 9], [4, 2, 8], [7, 3, 1]] Level: 2 F-value:(9, 7)
State: [[5, 2, 9], [4, 6, 8], [7, 3, 1]] Level: 3 F-value:(9, 6)
State: [[5, 2, 9], [4, 8, 6], [7, 3, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 9], [4, 3, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 3, 9], [4, 6, 8], [7, 2, 1]] Level: 2 F-value:(9, 7)
State: [[5, 9, 3], [4, 6, 8], [7, 2, 1]] Level: 3 F-value:(9, 6)
State: [[5, 9, 3], [4, 8, 6], [7, 2, 1]] Level: 4 F-value:(9, 5)
State: [[5, 9, 3], [4, 2, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [4, 9, 6], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[5, 3, 9], [4, 8, 6], [7, 2, 1]] Level: 3 F-value:(9, 6)
State: [[5, 3, 9], [4, 2, 6], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 6, 8], [4, 3, 9], [7, 2, 1]] Level: 2 F-value:(9, 7)
State: [[5, 6, 8], [4, 3, 1], [7, 2, 9]] Level: 3 F-value:(9, 6)
State: [[5, 9, 6], [4, 3, 8], [7, 2, 1]] Level: 2 F-value:(9, 7)
State: [[5, 9, 8], [4, 3, 6], [7, 2, 1]] Level: 3 F-value:(9, 6)
State: [[6, 5, 9], [4, 3, 8], [7, 2, 1]] Level: 2 F-value:(9, 7)
State: [[6, 3, 9], [4, 5, 8], [7, 2, 1]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 5, 8], [7, 2, 1]] Level: 4 F-value:(9, 5)
State: [[5, 6, 9], [4, 8, 3], [7, 2, 1]] Level: 2 F-value:(9, 7)
State: [[5, 6, 9], [4, 2, 3], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 6, 3], [4, 2, 9], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 3], [4, 6, 9], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [4, 6, 1], [7, 8, 9]] Level: 6 F-value:(9, 3)
State: [[5, 2, 3], [4, 1, 6], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[5, 6, 3], [4, 2, 1], [7, 8, 9]] Level: 5 F-value:(9, 4)
State: [[5, 2, 9], [4, 6, 3], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 6, 3], [4, 8, 9], [7, 2, 1]] Level: 3 F-value:(9, 6)
State: [[5, 6, 3], [4, 8, 1], [7, 2, 9]] Level: 4 F-value:(9, 5)
State: [[5, 6, 3], [4, 1, 2], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[9, 5, 3], [4, 2, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[9, 2, 3], [4, 5, 6], [7, 8, 1]] Level: 7 F-value:(9, 2)
State: [[6, 5, 3], [4, 2, 1], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[6, 2, 3], [4, 5, 1], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[6, 5, 3], [4, 2, 9], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 3], [4, 5, 9], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[6, 9, 3], [4, 5, 1], [7, 2, 8]] Level: 5 F-value:(10, 5)
State: [[6, 9, 3], [4, 5, 1], [7, 8, 2]] Level: 6 F-value:(10, 4)
State: [[9, 5, 3], [4, 8, 6], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[9, 8, 3], [4, 5, 6], [7, 2, 1]] Level: 6 F-value:(10, 4)
State: [[6, 9, 3], [4, 5, 8], [7, 1, 2]] Level: 5 F-value:(10, 5)
State: [[9, 6, 3], [4, 5, 8], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 8, 6], [7, 1, 2]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 1, 6], [7, 8, 2]] Level: 6 F-value:(10, 4)
State: [[5, 2, 9], [4, 6, 1], [7, 8, 3]] Level: 5 F-value:(10, 5)
State: [[5, 2, 9], [4, 1, 6], [7, 8, 3]] Level: 6 F-value:(10, 4)
State: [[5, 2, 9], [4, 8, 6], [7, 1, 3]] Level: 5 F-value:(10, 5)
State: [[5, 8, 3], [4, 9, 6], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[5, 6, 3], [4, 9, 2], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[5, 8, 3], [4, 6, 1], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[5, 8, 3], [4, 1, 6], [7, 2, 9]] Level: 6 F-value:(10, 4)
State: [[6, 5, 3], [4, 8, 1], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[6, 8, 3], [4, 5, 1], [7, 2, 9]] Level: 6 F-value:(10, 4)
State: [[5, 6, 3], [4, 1, 8], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[3, 5, 9], [4, 2, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[3, 2, 9], [4, 5, 6], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[5, 9, 6], [4, 2, 3], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 6], [4, 9, 3], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[5, 2, 9], [4, 6, 8], [7, 1, 3]] Level: 4 F-value:(10, 6)
State: [[5, 9, 3], [4, 6, 8], [7, 1, 2]] Level: 4 F-value:(10, 6)
State: [[5, 2, 9], [4, 6, 1], [7, 3, 8]] Level: 4 F-value:(10, 6)
State: [[5, 2, 9], [4, 1, 6], [7, 3, 8]] Level: 5 F-value:(10, 5)
State: [[5, 6, 9], [4, 2, 1], [7, 8, 3]] Level: 4 F-value:(10, 6)
State: [[5, 6, 1], [4, 3, 9], [7, 8, 2]] Level: 4 F-value:(10, 6)
State: [[5, 6, 1], [4, 3, 2], [7, 8, 9]] Level: 5 F-value:(10, 5)
State: [[5, 6, 3], [4, 9, 8], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 9], [4, 3, 8], [7, 6, 1]] Level: 4 F-value:(10, 6)
State: [[6, 3, 8], [4, 5, 9], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[6, 8, 3], [4, 5, 9], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[6, 3, 8], [4, 5, 1], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[9, 5, 3], [4, 6, 8], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[5, 9, 3], [4, 2, 8], [7, 6, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 3], [4, 9, 8], [7, 6, 1]] Level: 5 F-value:(10, 5)
State: [[6, 5, 9], [4, 2, 3], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 2, 9], [4, 5, 3], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[6, 2, 9], [4, 5, 1], [7, 8, 3]] Level: 6 F-value:(10, 4)
State: [[5, 9, 8], [4, 3, 6], [7, 1, 2]] Level: 4 F-value:(10, 6)
State: [[5, 3, 8], [4, 9, 6], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[5, 9, 8], [4, 2, 6], [7, 3, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 8], [4, 9, 6], [7, 3, 1]] Level: 5 F-value:(10, 5)
State: [[3, 6, 9], [4, 5, 8], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[6, 3, 9], [4, 5, 8], [7, 1, 2]] Level: 4 F-value:(10, 6)
State: [[5, 8, 6], [4, 3, 1], [7, 2, 9]] Level: 4 F-value:(10, 6)
State: [[5, 8, 1], [4, 3, 6], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 6, 1], [7, 2, 8]] Level: 4 F-value:(10, 6)
State: [[5, 9, 3], [4, 6, 1], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 1, 6], [7, 2, 8]] Level: 5 F-value:(10, 5)
State: [[6, 5, 8], [4, 3, 1], [7, 2, 9]] Level: 4 F-value:(10, 6)
State: [[5, 3, 8], [4, 6, 1], [7, 2, 9]] Level: 4 F-value:(10, 6)
State: [[5, 3, 8], [4, 1, 6], [7, 2, 9]] Level: 5 F-value:(10, 5)
State: [[5, 9, 6], [4, 3, 1], [7, 8, 2]] Level: 4 F-value:(10, 6)
State: [[5, 9, 1], [4, 3, 6], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 6, 8], [4, 1, 3], [7, 2, 9]] Level: 4 F-value:(10, 6)
State: [[5, 6, 1], [4, 3, 8], [7, 2, 9]] Level: 4 F-value:(10, 6)
State: [[9, 5, 8], [4, 3, 6], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[9, 3, 8], [4, 5, 6], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[6, 5, 9], [4, 3, 1], [7, 8, 2]] Level: 4 F-value:(10, 6)
State: [[6, 3, 9], [4, 5, 1], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 8, 3], [4, 6, 9], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[6, 3, 9], [4, 5, 1], [7, 2, 8]] Level: 4 F-value:(10, 6)
State: [[5, 6, 8], [4, 2, 1], [7, 3, 9]] Level: 4 F-value:(10, 6)
State: [[5, 2, 8], [4, 6, 1], [7, 3, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 8], [4, 1, 6], [7, 3, 9]] Level: 6 F-value:(10, 4)
State: [[5, 8, 9], [4, 3, 6], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[6, 5, 3], [4, 8, 9], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[3, 5, 9], [4, 8, 6], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[3, 8, 9], [4, 5, 6], [7, 2, 1]] Level: 5 F-value:(10, 5)
State: [[5, 6, 9], [4, 1, 3], [7, 8, 2]] Level: 4 F-value:(10, 6)
State: [[5, 6, 3], [4, 1, 9], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 3, 9], [4, 8, 6], [7, 1, 2]] Level: 4 F-value:(10, 6)
State: [[5, 3, 9], [4, 1, 6], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 6, 9], [4, 3, 2], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 8], [4, 6, 9], [7, 3, 1]] Level: 4 F-value:(10, 6)
State: [[5, 3, 9], [4, 6, 1], [7, 8, 2]] Level: 4 F-value:(10, 6)
State: [[5, 6, 3], [4, 8, 9], [7, 1, 2]] Level: 4 F-value:(10, 6)
State: [[5, 6, 3], [4, 8, 2], [7, 1, 9]] Level: 5 F-value:(10, 5)
State: [[5, 6, 8], [4, 2, 9], [7, 3, 1]] Level: 3 F-value:(10, 7)
State: [[6, 5, 9], [4, 3, 1], [7, 2, 8]] Level: 3 F-value:(10, 7)
State: [[5, 9, 6], [4, 3, 1], [7, 2, 8]] Level: 3 F-value:(10, 7)
State: [[5, 9, 1], [4, 3, 6], [7, 2, 8]] Level: 4 F-value:(10, 6)
State: [[6, 5, 9], [4, 2, 8], [7, 3, 1]] Level: 3 F-value:(10, 7)
State: [[6, 2, 9], [4, 5, 8], [7, 3, 1]] Level: 4 F-value:(9, 5)
State: [[6, 2, 9], [4, 5, 1], [7, 3, 8]] Level: 5 F-value:(10, 5)
State: [[6, 2, 9], [4, 5, 8], [7, 1, 3]] Level: 5 F-value:(10, 5)
State: [[6, 2, 8], [4, 5, 9], [7, 3, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 8], [4, 5, 1], [7, 3, 9]] Level: 6 F-value:(10, 4)
State: [[5, 6, 8], [4, 3, 9], [7, 1, 2]] Level: 3 F-value:(10, 7)
State: [[5, 6, 8], [4, 3, 2], [7, 1, 9]] Level: 4 F-value:(10, 6)
State: [[5, 8, 9], [4, 6, 3], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 2, 1], [7, 3, 8]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 8, 1], [7, 2, 3]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 8, 2], [7, 3, 1]] Level: 3 F-value:(10, 7)
State: [[5, 3, 9], [4, 6, 1], [7, 2, 8]] Level: 3 F-value:(10, 7)
State: [[5, 3, 9], [4, 1, 6], [7, 2, 8]] Level: 4 F-value:(10, 6)
State: [[6, 5, 9], [4, 3, 8], [7, 1, 2]] Level: 3 F-value:(10, 7)
State: [[5, 9, 6], [4, 3, 8], [7, 1, 2]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 1, 3], [7, 2, 8]] Level: 3 F-value:(10, 7)
State: [[5, 6, 3], [4, 1, 9], [7, 2, 8]] Level: 4 F-value:(10, 6)
State: [[5, 3, 8], [4, 6, 9], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 8, 3], [7, 1, 2]] Level: 3 F-value:(10, 7)
State: [[5, 3, 9], [4, 6, 8], [7, 1, 2]] Level: 3 F-value:(10, 7)
State: [[5, 3, 9], [4, 2, 8], [7, 6, 1]] Level: 3 F-value:(10, 7)
State: [[6, 5, 9], [4, 8, 3], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[6, 8, 9], [4, 5, 3], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[5, 9, 6], [4, 8, 3], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 2, 8], [7, 1, 3]] Level: 3 F-value:(10, 7)
State: [[6, 9, 5], [4, 3, 8], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 1, 8], [7, 3, 2]] Level: 3 F-value:(10, 7)
State: [[5, 3, 6], [4, 9, 8], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 1], [4, 3, 9], [7, 2, 8]] Level: 3 F-value:(10, 7)
State: [[9, 5, 6], [4, 3, 8], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[9, 3, 6], [4, 5, 8], [7, 2, 1]] Level: 4 F-value:(10, 6)
State: [[5, 6, 9], [4, 3, 2], [7, 1, 8]] Level: 3 F-value:(10, 7)
State: [[5, 9, 6], [4, 2, 8], [7, 3, 1]] Level: 3 F-value:(10, 7)
State: [[5, 2, 6], [4, 9, 8], [7, 3, 1]] Level: 4 F-value:(10, 6)
State: [[6, 5, 8], [4, 3, 9], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 8], [4, 9, 3], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 8, 6], [4, 3, 9], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[3, 5, 9], [4, 6, 8], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [4, 3, 8], [2, 7, 1]] Level: 2 F-value:(10, 8)
State: [[5, 6, 9], [3, 4, 8], [7, 2, 1]] Level: 2 F-value:(10, 8)
State: [[4, 6, 9], [5, 3, 8], [7, 2, 1]] Level: 2 F-value:(10, 8)
State: [[4, 6, 9], [3, 5, 8], [7, 2, 1]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [3, 7, 8], [4, 2, 1]] Level: 1 F-value:(10, 9)
State: [[5, 6, 9], [4, 7, 8], [3, 2, 1]] Level: 2 F-value:(10, 8)
State: [[5, 6, 8], [7, 3, 9], [4, 2, 1]] Level: 1 F-value:(10, 9)
State: [[5, 6, 8], [7, 3, 1], [4, 2, 9]] Level: 2 F-value:(10, 8)
State: [[5, 6, 9], [7, 8, 3], [4, 2, 1]] Level: 1 F-value:(10, 9)
State: [[5, 6, 9], [7, 2, 3], [4, 8, 1]] Level: 2 F-value:(10, 8)
State: [[5, 6, 3], [7, 2, 9], [4, 8, 1]] Level: 3 F-value:(10, 7)
State: [[5, 2, 3], [7, 6, 9], [4, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 3], [7, 9, 6], [4, 8, 1]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [7, 6, 1], [4, 8, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [7, 1, 6], [4, 8, 9]] Level: 6 F-value:(10, 4)
State: [[5, 6, 3], [7, 2, 1], [4, 8, 9]] Level: 4 F-value:(10, 6)
State: [[5, 2, 9], [7, 6, 3], [4, 8, 1]] Level: 3 F-value:(10, 7)
State: [[5, 2, 9], [7, 3, 6], [4, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 6, 3], [7, 8, 9], [4, 2, 1]] Level: 2 F-value:(10, 8)
State: [[5, 6, 3], [7, 8, 1], [4, 2, 9]] Level: 3 F-value:(10, 7)
State: [[5, 6, 9], [7, 3, 8], [4, 1, 2]] Level: 1 F-value:(10, 9)
State: [[5, 6, 9], [7, 3, 8], [2, 4, 1]] Level: 1 F-value:(10, 9)
State: [[5, 6, 9], [2, 3, 8], [7, 4, 1]] Level: 2 F-value:(10, 8)
State: [[5, 6, 9], [7, 3, 1], [4, 2, 8]] Level: 1 F-value:(10, 9)
State: [[5, 6, 9], [7, 3, 1], [4, 8, 2]] Level: 2 F-value:(10, 8)
State: [[5, 6, 9], [7, 2, 8], [4, 3, 1]] Level: 1 F-value:(10, 9)
State: [[5, 2, 9], [7, 6, 8], [4, 3, 1]] Level: 2 F-value:(10, 8)
State: [[5, 2, 9], [7, 8, 6], [4, 3, 1]] Level: 3 F-value:(10, 7)
