Search Path:
State: [[6, 9, 3], [8, 7, 2], [4, 1, 5]] Level: 0 F-value:(8, 8)
State: [[6, 9, 3], [4, 7, 2], [8, 1, 5]] Level: 1 F-value:(8, 7)
State: [[6, 9, 3], [4, 7, 2], [1, 8, 5]] Level: 2 F-value:(8, 6)
State: [[6, 9, 3], [4, 7, 5], [1, 8, 2]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 5, 7], [1, 8, 2]] Level: 4 F-value:(9, 5)
State: [[9, 6, 3], [4, 7, 2], [1, 8, 5]] Level: 3 F-value:(9, 6)
State: [[6, 7, 3], [4, 9, 2], [1, 8, 5]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 2, 7], [1, 8, 5]] Level: 3 F-value:(9, 6)
State: [[6, 2, 3], [4, 9, 7], [1, 8, 5]] Level: 4 F-value:(9, 5)
State: [[6, 9, 3], [4, 7, 2], [8, 5, 1]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [4, 5, 2], [8, 7, 1]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 5, 2], [7, 8, 1]] Level: 4 F-value:(8, 4)
State: [[6, 9, 3], [4, 5, 1], [7, 8, 2]] Level: 5 F-value:(9, 4)
State: [[9, 6, 3], [4, 5, 2], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[6, 9, 3], [4, 7, 2], [5, 8, 1]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 1, 2], [8, 7, 5]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [4, 1, 2], [7, 8, 5]] Level: 3 F-value:(8, 5)
State: [[6, 9, 3], [4, 1, 5], [7, 8, 2]] Level: 4 F-value:(9, 5)
State: [[6, 1, 3], [4, 9, 2], [7, 8, 5]] Level: 4 F-value:(9, 5)
State: [[1, 6, 3], [4, 9, 2], [7, 8, 5]] Level: 5 F-value:(9, 4)
State: [[6, 9, 3], [4, 2, 1], [7, 8, 5]] Level: 4 F-value:(9, 5)
State: [[6, 2, 3], [4, 9, 1], [7, 8, 5]] Level: 5 F-value:(9, 4)
State: [[9, 6, 3], [4, 1, 2], [7, 8, 5]] Level: 4 F-value:(9, 5)
State: [[6, 9, 3], [4, 2, 7], [8, 1, 5]] Level: 2 F-value:(9, 7)
State: [[6, 2, 3], [4, 9, 7], [8, 1, 5]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 7, 5], [8, 1, 2]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [4, 5, 7], [8, 1, 2]] Level: 3 F-value:(9, 6)
State: [[9, 6, 3], [4, 7, 2], [8, 1, 5]] Level: 2 F-value:(9, 7)
State: [[6, 7, 3], [4, 9, 2], [8, 1, 5]] Level: 2 F-value:(9, 7)
State: [[6, 7, 3], [8, 9, 2], [4, 1, 5]] Level: 1 F-value:(9, 8)
State: [[6, 9, 3], [7, 8, 2], [4, 1, 5]] Level: 1 F-value:(9, 8)
State: [[6, 9, 3], [4, 8, 2], [7, 1, 5]] Level: 2 F-value:(8, 6)
State: [[9, 6, 3], [4, 8, 2], [7, 1, 5]] Level: 3 F-value:(9, 6)
State: [[6, 8, 3], [4, 9, 2], [7, 1, 5]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 8, 2], [7, 5, 1]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 8, 5], [7, 1, 2]] Level: 3 F-value:(9, 6)
State: [[6, 9, 3], [4, 5, 8], [7, 1, 2]] Level: 4 F-value:(9, 5)
State: [[6, 9, 3], [4, 2, 8], [7, 1, 5]] Level: 3 F-value:(9, 6)
State: [[6, 2, 3], [4, 9, 8], [7, 1, 5]] Level: 4 F-value:(9, 5)
State: [[6, 9, 3], [7, 1, 2], [4, 8, 5]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [8, 2, 7], [4, 1, 5]] Level: 1 F-value:(9, 8)
State: [[6, 2, 3], [8, 9, 7], [4, 1, 5]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [8, 7, 5], [4, 1, 2]] Level: 1 F-value:(9, 8)
State: [[6, 9, 3], [8, 5, 7], [4, 1, 2]] Level: 2 F-value:(9, 7)
State: [[6, 9, 3], [8, 7, 2], [1, 4, 5]] Level: 1 F-value:(9, 8)
State: [[6, 9, 3], [8, 7, 2], [4, 5, 1]] Level: 1 F-value:(9, 8)
