Search Path:
State: [[11, 6, 5, 9], [15, 12, 1, 8], [10, 13, 4, 14], [3, 2, 7, 16]] Level: 0 F-value:(21.0, 21.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 13, 4, 14], [3, 2, 7, 16]] Level: 1 F-value:(21.0, 20.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 2, 4, 14], [3, 13, 7, 16]] Level: 2 F-value:(21.0, 19.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 4, 14], [3, 13, 7, 16]] Level: 3 F-value:(21.0, 18.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 4, 14], [3, 13, 7, 16]] Level: 4 F-value:(21.0, 17.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 4, 14], [13, 3, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 14, 4], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 7, 4], [13, 3, 14, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 7, 4], [13, 14, 3, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 14, 12, 4], [13, 3, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 3, 12, 4], [13, 14, 7, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 14, 4], [3, 13, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 14, 12, 4], [3, 13, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 2, 1, 9], [15, 6, 5, 8], [10, 12, 7, 4], [3, 13, 14, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 14, 4], [3, 13, 7, 16]] Level: 4 F-value:(21.0, 17.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 14, 12, 4], [3, 13, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 14, 12, 4], [13, 3, 7, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 3, 12, 4], [13, 14, 7, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 14, 4], [13, 3, 7, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 7, 4], [13, 3, 14, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 7, 4], [13, 14, 3, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 7, 4], [3, 13, 14, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 6, 1, 9], [15, 2, 5, 8], [10, 12, 4, 14], [13, 3, 7, 16]] Level: 4 F-value:(21.0, 17.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 2, 14, 4], [3, 13, 7, 16]] Level: 3 F-value:(21.0, 18.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 2, 7, 4], [3, 13, 14, 16]] Level: 4 F-value:(21.0, 17.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 2, 7, 4], [13, 3, 14, 16]] Level: 5 F-value:(21.0, 16.0)
State: [[11, 6, 1, 9], [15, 12, 5, 8], [10, 2, 7, 4], [13, 14, 3, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 1, 9], [15, 5, 12, 8], [10, 2, 7, 4], [13, 14, 3, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 1, 9], [5, 15, 12, 8], [10, 2, 7, 4], [13, 14, 3, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 1, 9], [5, 2, 12, 8], [10, 15, 7, 4], [13, 14, 3, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 1, 9], [5, 6, 12, 8], [10, 15, 7, 4], [13, 14, 3, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 2, 1, 9], [5, 6, 7, 8], [10, 15, 12, 4], [13, 14, 3, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 6, 1, 9], [5, 2, 7, 8], [10, 15, 12, 4], [13, 14, 3, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 6, 1, 9], [5, 15, 7, 8], [10, 2, 12, 4], [13, 14, 3, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 6, 1, 9], [15, 5, 7, 8], [10, 2, 12, 4], [13, 14, 3, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 1, 9], [15, 5, 12, 8], [10, 2, 7, 4], [13, 3, 14, 16]] Level: 6 F-value:(21.0, 15.0)
State: [[11, 6, 1, 9], [15, 5, 7, 8], [10, 2, 12, 4], [13, 3, 14, 16]] Level: 7 F-value:(21.0, 14.0)
State: [[11, 6, 1, 9], [5, 15, 7, 8], [10, 2, 12, 4], [13, 3, 14, 16]] Level: 8 F-value:(21.0, 13.0)
State: [[11, 6, 1, 9], [5, 2, 7, 8], [10, 15, 12, 4], [13, 3, 14, 16]] Level: 9 F-value:(21.0, 12.0)
State: [[11, 2, 1, 9], [5, 6, 7, 8], [10, 15, 12, 4], [13, 3, 14, 16]] Level: 10 F-value:(21.0, 11.0)
State: [[11, 2, 1, 9], [5, 6, 7, 8], [10, 3, 12, 4], [13, 15, 14, 16]] Level: 11 F-value:(21.0, 10.0)
State: [[11, 2, 1, 9], [5, 6, 7, 8], [10, 3, 12, 4], [13, 14, 15, 16]] Level: 12 F-value:(21.0, 9.0)
