Search Path:
State: [[6, 5, 2], [8, 3, 9], [1, 7, 4]] Level: 0 F-value:(8.0, 8.0)
State: [[6, 5, 2], [1, 3, 9], [8, 7, 4]] Level: 1 F-value:(8.0, 7.0)
State: [[1, 5, 2], [6, 3, 9], [8, 7, 4]] Level: 2 F-value:(8.0, 6.0)
State: [[1, 3, 2], [6, 5, 9], [8, 7, 4]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 2, 3], [6, 5, 9], [8, 7, 4]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 2, 3], [6, 5, 4], [8, 7, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 2, 3], [6, 5, 4], [7, 8, 9]] Level: 6 F-value:(8.0, 2.0)
State: [[1, 2, 3], [6, 5, 9], [7, 8, 4]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 3, 2], [6, 5, 4], [8, 7, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 3, 2], [6, 5, 4], [7, 8, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 3, 2], [6, 5, 9], [7, 8, 4]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 5, 2], [6, 3, 9], [7, 8, 4]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 5, 2], [6, 3, 4], [7, 8, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 5, 2], [6, 4, 3], [7, 8, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 5, 2], [4, 6, 3], [7, 8, 9]] Level: 6 F-value:(8.0, 2.0)
State: [[1, 5, 2], [6, 3, 4], [8, 7, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 5, 2], [6, 4, 3], [8, 7, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 5, 2], [4, 6, 3], [8, 7, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[6, 5, 2], [1, 3, 4], [8, 7, 9]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 5, 2], [1, 3, 4], [7, 8, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 5, 2], [1, 4, 3], [7, 8, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[6, 3, 2], [1, 5, 4], [7, 8, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[6, 2, 3], [1, 5, 4], [7, 8, 9]] Level: 5 F-value:(8.0, 3.0)
State: [[6, 5, 2], [1, 4, 3], [8, 7, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 3, 2], [1, 5, 4], [8, 7, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 2, 3], [1, 5, 4], [8, 7, 9]] Level: 4 F-value:(8.0, 4.0)
State: [[6, 5, 2], [1, 3, 9], [7, 8, 4]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 3, 2], [1, 5, 9], [7, 8, 4]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 2, 3], [1, 5, 9], [7, 8, 4]] Level: 4 F-value:(8.0, 4.0)
State: [[6, 3, 2], [1, 5, 9], [8, 7, 4]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 2, 3], [1, 5, 9], [8, 7, 4]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 3, 2], [8, 5, 9], [1, 7, 4]] Level: 1 F-value:(8.0, 7.0)
State: [[6, 3, 2], [8, 5, 4], [1, 7, 9]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 2, 3], [8, 5, 4], [1, 7, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[6, 2, 3], [8, 5, 9], [1, 7, 4]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 5, 2], [8, 3, 4], [1, 7, 9]] Level: 1 F-value:(8.0, 7.0)
State: [[6, 5, 2], [8, 4, 3], [1, 7, 9]] Level: 2 F-value:(8.0, 6.0)
State: [[6, 5, 2], [4, 8, 3], [1, 7, 9]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 2, 5], [4, 6, 3], [7, 8, 9]] Level: 7 F-value:(9.0, 2.0)
State: [[1, 2, 3], [4, 6, 5], [7, 8, 9]] Level: 8 F-value:(9.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(9.0, 0.0)
Time taken: 0.4290015697479248
