Solution Path:
State: [[3, 9, 6], [8, 2, 7], [5, 1, 4]] Level: 0 F-value:(24, 24)
State: [[3, 2, 6], [8, 9, 7], [5, 1, 4]] Level: 1 F-value:(20, 19)
State: [[3, 2, 6], [8, 1, 7], [5, 9, 4]] Level: 2 F-value:(16, 14)
State: [[3, 2, 6], [8, 1, 4], [5, 9, 7]] Level: 3 F-value:(14, 11)
State: [[3, 1, 6], [8, 2, 4], [5, 9, 7]] Level: 4 F-value:(14, 10)
State: [[1, 3, 6], [8, 2, 4], [5, 9, 7]] Level: 5 F-value:(14, 9)
State: [[1, 2, 6], [8, 3, 4], [5, 9, 7]] Level: 6 F-value:(14, 8)
State: [[1, 2, 4], [8, 3, 6], [5, 9, 7]] Level: 7 F-value:(14, 7)
State: [[1, 2, 4], [5, 3, 6], [8, 9, 7]] Level: 8 F-value:(12, 4)
State: [[1, 2, 4], [5, 3, 6], [8, 7, 9]] Level: 9 F-value:(12, 3)
State: [[1, 2, 4], [5, 3, 6], [7, 8, 9]] Level: 10 F-value:(12, 2)
State: [[1, 4, 2], [5, 3, 6], [7, 8, 9]] Level: 11 F-value:(14, 3)
State: [[1, 3, 2], [5, 4, 6], [7, 8, 9]] Level: 12 F-value:(14, 2)
State: [[1, 2, 3], [5, 4, 6], [7, 8, 9]] Level: 13 F-value:(14, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 14 F-value:(14, 0)
Time taken: 0.1810002326965332
