Solution Path:
State: [[1, 6, 7], [9, 5, 8], [3, 4, 2]] Level: 0 F-value:(10.0, 10.0)
State: [[1, 6, 7], [9, 5, 2], [3, 4, 8]] Level: 1 F-value:(10.0, 9.0)
State: [[1, 6, 2], [9, 5, 7], [3, 4, 8]] Level: 2 F-value:(10.0, 8.0)
State: [[1, 2, 6], [9, 5, 7], [3, 4, 8]] Level: 3 F-value:(10.0, 7.0)
State: [[1, 2, 6], [9, 5, 7], [4, 3, 8]] Level: 4 F-value:(10.0, 6.0)
State: [[1, 2, 6], [9, 5, 7], [4, 8, 3]] Level: 5 F-value:(10.0, 5.0)
State: [[1, 2, 6], [9, 5, 3], [4, 8, 7]] Level: 6 F-value:(10.0, 4.0)
State: [[1, 2, 3], [9, 5, 6], [4, 8, 7]] Level: 7 F-value:(10.0, 3.0)
State: [[1, 2, 3], [4, 5, 6], [9, 8, 7]] Level: 8 F-value:(10.0, 2.0)
State: [[1, 2, 3], [4, 5, 6], [8, 9, 7]] Level: 9 F-value:(11.0, 2.0)
State: [[1, 2, 3], [4, 5, 6], [8, 7, 9]] Level: 10 F-value:(11.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 11 F-value:(11.0, 0.0)
Time taken: 0.49000000953674316
