Search Path:
State: [[6, 4, 2], [3, 1, 7], [5, 8, 9]] Level: 0 F-value:(11, 11)
State: [[6, 1, 2], [3, 4, 7], [5, 8, 9]] Level: 1 F-value:(7, 6)
State: [[1, 6, 2], [3, 4, 7], [5, 8, 9]] Level: 2 F-value:(7, 5)
State: [[1, 2, 6], [3, 4, 7], [5, 8, 9]] Level: 3 F-value:(7, 4)
State: [[1, 4, 2], [3, 6, 7], [5, 8, 9]] Level: 3 F-value:(7, 4)
State: [[1, 2, 4], [3, 6, 7], [5, 8, 9]] Level: 4 F-value:(7, 3)
State: [[3, 1, 2], [6, 4, 7], [5, 8, 9]] Level: 2 F-value:(7, 5)
State: [[1, 3, 2], [6, 4, 7], [5, 8, 9]] Level: 3 F-value:(7, 4)
State: [[1, 2, 3], [6, 4, 7], [5, 8, 9]] Level: 4 F-value:(7, 3)
State: [[1, 2, 3], [4, 6, 7], [5, 8, 9]] Level: 5 F-value:(7, 2)
State: [[1, 2, 3], [5, 4, 7], [6, 8, 9]] Level: 5 F-value:(7, 2)
State: [[1, 2, 3], [4, 5, 7], [6, 8, 9]] Level: 6 F-value:(7, 1)
State: [[1, 3, 2], [4, 6, 7], [5, 8, 9]] Level: 4 F-value:(7, 3)
State: [[1, 3, 2], [5, 4, 7], [6, 8, 9]] Level: 4 F-value:(7, 3)
State: [[1, 3, 2], [4, 5, 7], [6, 8, 9]] Level: 5 F-value:(7, 2)
State: [[3, 1, 2], [4, 6, 7], [5, 8, 9]] Level: 3 F-value:(7, 4)
State: [[3, 1, 2], [5, 4, 7], [6, 8, 9]] Level: 3 F-value:(7, 4)
State: [[3, 1, 2], [4, 5, 7], [6, 8, 9]] Level: 4 F-value:(7, 3)
State: [[1, 2, 3], [4, 7, 5], [6, 8, 9]] Level: 7 F-value:(9, 2)
State: [[1, 2, 3], [4, 5, 7], [8, 6, 9]] Level: 7 F-value:(9, 2)
State: [[2, 1, 3], [4, 5, 7], [6, 8, 9]] Level: 7 F-value:(9, 2)
State: [[1, 2, 3], [4, 5, 7], [6, 9, 8]] Level: 7 F-value:(9, 2)
State: [[1, 2, 3], [4, 7, 6], [5, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [4, 6, 7], [5, 9, 8]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [5, 4, 7], [6, 9, 8]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [5, 4, 7], [8, 6, 9]] Level: 6 F-value:(9, 3)
State: [[2, 1, 3], [5, 4, 7], [6, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [5, 7, 4], [6, 8, 9]] Level: 6 F-value:(9, 3)
State: [[2, 1, 3], [4, 6, 7], [5, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [5, 6, 7], [4, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 3, 2], [4, 5, 7], [6, 9, 8]] Level: 6 F-value:(9, 3)
State: [[1, 3, 2], [4, 5, 7], [8, 6, 9]] Level: 6 F-value:(9, 3)
State: [[1, 3, 2], [4, 7, 5], [6, 8, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 3], [4, 6, 7], [8, 5, 9]] Level: 6 F-value:(9, 3)
State: [[1, 2, 4], [3, 6, 7], [5, 9, 8]] Level: 5 F-value:(9, 4)
State: [[1, 3, 2], [4, 6, 7], [5, 9, 8]] Level: 5 F-value:(9, 4)
State: [[1, 4, 2], [5, 3, 7], [6, 8, 9]] Level: 5 F-value:(9, 4)
