Search Path:
State: [[9, 4, 5], [3, 1, 6], [2, 8, 7]] Level: 0 F-value:(9.0, 9.0)
State: [[9, 1, 5], [3, 4, 6], [2, 8, 7]] Level: 1 F-value:(9.0, 8.0)
State: [[1, 9, 5], [3, 4, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 9, 5], [4, 3, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 3, 5], [4, 9, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 5, 3], [4, 9, 6], [2, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 5, 9], [4, 3, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 9], [4, 5, 6], [2, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 5, 9], [3, 4, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[3, 1, 5], [9, 4, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[3, 1, 5], [4, 9, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[3, 1, 5], [2, 4, 6], [9, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 3, 5], [2, 4, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 5], [4, 2, 6], [9, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[1, 5, 3], [4, 2, 6], [9, 8, 7]] Level: 6 F-value:(9.0, 3.0)
State: [[1, 2, 3], [4, 5, 6], [9, 8, 7]] Level: 7 F-value:(9.0, 2.0)
State: [[1, 5, 3], [2, 4, 6], [9, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[3, 1, 5], [4, 2, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[1, 3, 5], [9, 4, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 5, 3], [9, 4, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[9, 1, 5], [4, 3, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[3, 4, 5], [9, 1, 6], [2, 8, 7]] Level: 1 F-value:(9.0, 8.0)
State: [[3, 4, 5], [2, 1, 6], [9, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[3, 4, 5], [1, 2, 6], [9, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[4, 3, 5], [1, 2, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 5, 3], [1, 2, 6], [9, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[4, 2, 3], [1, 5, 6], [9, 8, 7]] Level: 6 F-value:(9.0, 3.0)
State: [[3, 2, 5], [1, 4, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 3, 5], [2, 1, 6], [9, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[4, 5, 3], [2, 1, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 1, 3], [2, 5, 6], [9, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[2, 1, 3], [4, 5, 6], [9, 8, 7]] Level: 6 F-value:(9.0, 3.0)
State: [[2, 5, 3], [4, 1, 6], [9, 8, 7]] Level: 5 F-value:(9.0, 4.0)
State: [[2, 3, 5], [4, 1, 6], [9, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 3, 5], [9, 1, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[4, 5, 3], [9, 1, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[4, 5, 3], [1, 9, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 1, 3], [9, 5, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 3, 5], [1, 9, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[3, 4, 5], [1, 9, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[4, 9, 5], [3, 1, 6], [2, 8, 7]] Level: 1 F-value:(9.0, 8.0)
State: [[3, 9, 5], [4, 1, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[3, 5, 9], [4, 1, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[3, 1, 9], [4, 5, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 9, 5], [1, 3, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[4, 5, 9], [1, 3, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[4, 3, 9], [1, 5, 6], [2, 8, 7]] Level: 4 F-value:(9.0, 5.0)
State: [[4, 1, 5], [3, 9, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[4, 5, 9], [3, 1, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[4, 1, 9], [3, 5, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[9, 4, 5], [1, 3, 6], [2, 8, 7]] Level: 1 F-value:(9.0, 8.0)
State: [[9, 3, 5], [1, 4, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[9, 5, 3], [1, 4, 6], [2, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 4, 5], [9, 3, 6], [2, 8, 7]] Level: 2 F-value:(9.0, 7.0)
State: [[1, 4, 5], [2, 3, 6], [9, 8, 7]] Level: 3 F-value:(9.0, 6.0)
State: [[1, 2, 3], [4, 5, 6], [8, 9, 7]] Level: 8 F-value:(10.0, 2.0)
State: [[1, 2, 3], [4, 5, 6], [8, 7, 9]] Level: 9 F-value:(10.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 10 F-value:(10.0, 0.0)
Time taken: 0.31000828742980957
