Search Path:
State: [[7, 8, 2], [9, 5, 4], [6, 3, 1]] Level: 0 F-value:(26, 26)
State: [[7, 8, 2], [9, 5, 1], [6, 3, 4]] Level: 1 F-value:(24, 23)
State: [[7, 8, 1], [9, 5, 2], [6, 3, 4]] Level: 2 F-value:(24, 22)
State: [[7, 1, 8], [9, 5, 2], [6, 3, 4]] Level: 3 F-value:(24, 21)
State: [[7, 1, 2], [9, 5, 8], [6, 3, 4]] Level: 4 F-value:(22, 18)
State: [[7, 1, 2], [9, 5, 4], [6, 3, 8]] Level: 5 F-value:(20, 15)
State: [[7, 1, 2], [9, 3, 4], [6, 5, 8]] Level: 6 F-value:(18, 12)
State: [[1, 7, 2], [9, 3, 4], [6, 5, 8]] Level: 7 F-value:(18, 11)
State: [[1, 2, 7], [9, 3, 4], [6, 5, 8]] Level: 8 F-value:(18, 10)
State: [[1, 2, 7], [3, 9, 4], [6, 5, 8]] Level: 9 F-value:(18, 9)
State: [[1, 2, 7], [3, 5, 4], [6, 9, 8]] Level: 10 F-value:(16, 6)
State: [[1, 2, 4], [3, 5, 7], [6, 9, 8]] Level: 11 F-value:(14, 3)
State: [[1, 2, 4], [3, 5, 7], [6, 8, 9]] Level: 12 F-value:(14, 2)
State: [[2, 1, 4], [3, 5, 7], [6, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 4, 2], [3, 5, 7], [6, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 4], [5, 3, 7], [6, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 4], [3, 7, 5], [6, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 4], [3, 5, 7], [8, 6, 9]] Level: 13 F-value:(16, 3)
State: [[2, 1, 4], [3, 5, 7], [6, 9, 8]] Level: 12 F-value:(16, 4)
State: [[1, 4, 2], [3, 5, 7], [6, 9, 8]] Level: 12 F-value:(16, 4)
State: [[1, 2, 4], [5, 3, 7], [6, 9, 8]] Level: 12 F-value:(16, 4)
State: [[1, 2, 4], [3, 7, 5], [6, 9, 8]] Level: 12 F-value:(16, 4)
State: [[1, 2, 4], [3, 5, 7], [9, 6, 8]] Level: 12 F-value:(16, 4)
State: [[1, 2, 4], [3, 5, 8], [6, 9, 7]] Level: 12 F-value:(16, 4)
State: [[1, 2, 4], [3, 5, 8], [6, 7, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 7], [3, 4, 5], [6, 9, 8]] Level: 11 F-value:(16, 5)
State: [[1, 2, 5], [3, 4, 7], [6, 9, 8]] Level: 12 F-value:(16, 4)
State: [[1, 2, 5], [3, 4, 7], [6, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 7], [3, 4, 5], [6, 8, 9]] Level: 12 F-value:(16, 4)
State: [[1, 2, 7], [3, 5, 4], [6, 8, 9]] Level: 11 F-value:(16, 5)
State: [[1, 2, 5], [3, 4, 7], [8, 6, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 5], [4, 3, 7], [6, 8, 9]] Level: 14 F-value:(18, 4)
State: [[2, 1, 5], [3, 4, 7], [6, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 8, 5], [6, 7, 9]] Level: 14 F-value:(18, 4)
State: [[1, 4, 2], [3, 5, 8], [6, 7, 9]] Level: 14 F-value:(18, 4)
State: [[2, 1, 4], [3, 5, 8], [6, 7, 9]] Level: 14 F-value:(18, 4)
State: [[2, 4, 1], [3, 5, 7], [6, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 5, 9], [6, 7, 8]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 5, 8], [7, 6, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [5, 3, 8], [6, 7, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 5, 7], [8, 9, 6]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 5, 6], [8, 9, 7]] Level: 15 F-value:(18, 3)
