Search Path:
State: [[5, 6, 9], [7, 3, 8], [4, 2, 1]] Level: 0 F-value:(26, 26)
State: [[5, 6, 9], [7, 3, 1], [4, 2, 8]] Level: 1 F-value:(22, 21)
State: [[5, 6, 1], [7, 3, 9], [4, 2, 8]] Level: 2 F-value:(18, 16)
State: [[5, 1, 6], [7, 3, 9], [4, 2, 8]] Level: 3 F-value:(18, 15)
State: [[1, 5, 6], [7, 3, 9], [4, 2, 8]] Level: 4 F-value:(18, 14)
State: [[1, 5, 6], [7, 2, 9], [4, 3, 8]] Level: 5 F-value:(18, 13)
State: [[1, 2, 6], [7, 5, 9], [4, 3, 8]] Level: 6 F-value:(18, 12)
State: [[1, 2, 6], [7, 3, 9], [4, 5, 8]] Level: 7 F-value:(16, 9)
State: [[1, 2, 6], [3, 7, 9], [4, 5, 8]] Level: 8 F-value:(16, 8)
State: [[1, 2, 6], [3, 5, 9], [4, 7, 8]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [3, 5, 8], [4, 7, 9]] Level: 10 F-value:(16, 6)
State: [[1, 2, 6], [3, 7, 8], [4, 5, 9]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [4, 3, 9], [7, 5, 8]] Level: 8 F-value:(16, 8)
State: [[1, 2, 6], [3, 4, 9], [7, 5, 8]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [3, 4, 9], [5, 7, 8]] Level: 10 F-value:(16, 6)
State: [[1, 2, 6], [3, 4, 8], [5, 7, 9]] Level: 11 F-value:(16, 5)
State: [[1, 2, 6], [3, 4, 8], [7, 5, 9]] Level: 10 F-value:(16, 6)
State: [[1, 2, 6], [4, 3, 8], [7, 5, 9]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [4, 3, 8], [5, 7, 9]] Level: 10 F-value:(16, 6)
State: [[1, 2, 6], [4, 3, 9], [5, 7, 8]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [7, 3, 8], [4, 5, 9]] Level: 8 F-value:(16, 8)
State: [[1, 2, 6], [4, 5, 9], [7, 3, 8]] Level: 7 F-value:(16, 9)
State: [[1, 2, 6], [4, 5, 8], [7, 3, 9]] Level: 8 F-value:(16, 8)
State: [[1, 2, 6], [4, 5, 8], [3, 7, 9]] Level: 9 F-value:(16, 7)
State: [[1, 2, 6], [4, 5, 9], [3, 7, 8]] Level: 8 F-value:(16, 8)
State: [[1, 2, 6], [3, 4, 8], [5, 9, 7]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [3, 4, 7], [5, 9, 8]] Level: 13 F-value:(18, 5)
State: [[1, 2, 6], [3, 4, 7], [5, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 6, 2], [3, 4, 8], [5, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 4, 2], [3, 6, 8], [5, 7, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 4], [3, 6, 8], [5, 7, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 6], [3, 8, 4], [5, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [3, 7, 4], [5, 8, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 4], [3, 7, 6], [5, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 4], [3, 6, 7], [5, 8, 9]] Level: 15 F-value:(18, 3)
State: [[1, 2, 4], [3, 8, 6], [5, 7, 9]] Level: 13 F-value:(18, 5)
State: [[2, 1, 6], [3, 4, 8], [5, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 8], [3, 4, 6], [5, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [3, 8, 5], [4, 7, 9]] Level: 11 F-value:(18, 7)
State: [[1, 2, 5], [3, 8, 6], [4, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 5], [3, 6, 8], [4, 7, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 5], [3, 7, 6], [4, 8, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 5], [3, 6, 7], [4, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 6], [3, 7, 5], [4, 8, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [3, 5, 7], [4, 8, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 6], [5, 3, 8], [4, 7, 9]] Level: 11 F-value:(18, 7)
State: [[1, 6, 2], [3, 5, 8], [4, 7, 9]] Level: 11 F-value:(18, 7)
State: [[1, 5, 2], [3, 6, 8], [4, 7, 9]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [3, 5, 8], [4, 9, 7]] Level: 11 F-value:(18, 7)
State: [[1, 2, 6], [3, 5, 7], [4, 9, 8]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [4, 3, 8], [5, 9, 7]] Level: 11 F-value:(18, 7)
State: [[1, 2, 6], [4, 3, 7], [5, 9, 8]] Level: 12 F-value:(18, 6)
State: [[1, 2, 6], [4, 3, 7], [5, 8, 9]] Level: 13 F-value:(18, 5)
State: [[1, 2, 6], [3, 5, 8], [7, 4, 9]] Level: 11 F-value:(18, 7)
State: [[1, 2, 6], [4, 8, 3], [5, 7, 9]] Level: 11 F-value:(18, 7)
State: [[1, 2, 3], [4, 8, 6], [5, 7, 9]] Level: 12 F-value:(16, 4)
State: [[1, 2, 3], [4, 6, 8], [5, 7, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 3], [4, 7, 6], [5, 8, 9]] Level: 13 F-value:(16, 3)
State: [[1, 2, 3], [4, 6, 7], [5, 8, 9]] Level: 14 F-value:(16, 2)
State: [[2, 1, 3], [4, 6, 7], [5, 8, 9]] Level: 15 F-value:(18, 3)
State: [[1, 3, 2], [4, 6, 7], [5, 8, 9]] Level: 15 F-value:(18, 3)
State: [[1, 2, 3], [6, 4, 7], [5, 8, 9]] Level: 15 F-value:(18, 3)
State: [[1, 2, 3], [5, 4, 7], [6, 8, 9]] Level: 16 F-value:(18, 2)
State: [[1, 2, 3], [4, 5, 7], [6, 8, 9]] Level: 17 F-value:(18, 1)
State: [[1, 2, 3], [5, 6, 7], [4, 8, 9]] Level: 15 F-value:(18, 3)
State: [[1, 2, 3], [4, 6, 7], [5, 9, 8]] Level: 15 F-value:(18, 3)
State: [[1, 2, 3], [4, 6, 7], [8, 5, 9]] Level: 15 F-value:(18, 3)
State: [[1, 2, 3], [4, 5, 7], [8, 6, 9]] Level: 16 F-value:(18, 2)
State: [[1, 3, 2], [4, 7, 6], [5, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 3], [7, 4, 6], [5, 8, 9]] Level: 14 F-value:(18, 4)
State: [[1, 2, 3], [5, 4, 6], [7, 8, 9]] Level: 15 F-value:(16, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 16 F-value:(16, 0)
Time taken: 0.48999881744384766
