Search Path:
State: [[9, 8, 6], [5, 2, 3], [4, 1, 7]] Level: 0 F-value:(8.0, 8.0)
State: [[9, 2, 6], [5, 8, 3], [4, 1, 7]] Level: 1 F-value:(8.0, 7.0)
State: [[9, 2, 6], [5, 1, 3], [4, 8, 7]] Level: 2 F-value:(8.0, 6.0)
State: [[9, 2, 6], [1, 5, 3], [4, 8, 7]] Level: 3 F-value:(8.0, 5.0)
State: [[1, 2, 6], [9, 5, 3], [4, 8, 7]] Level: 4 F-value:(8.0, 4.0)
State: [[1, 2, 3], [9, 5, 6], [4, 8, 7]] Level: 5 F-value:(8.0, 3.0)
State: [[1, 2, 3], [4, 5, 6], [9, 8, 7]] Level: 6 F-value:(8.0, 2.0)
State: [[1, 2, 6], [4, 5, 3], [9, 8, 7]] Level: 5 F-value:(8.0, 3.0)
State: [[9, 2, 3], [1, 5, 6], [4, 8, 7]] Level: 4 F-value:(8.0, 4.0)
State: [[9, 2, 3], [5, 1, 6], [4, 8, 7]] Level: 3 F-value:(8.0, 5.0)
State: [[9, 2, 3], [5, 8, 6], [4, 1, 7]] Level: 2 F-value:(8.0, 6.0)
State: [[9, 8, 3], [5, 2, 6], [4, 1, 7]] Level: 1 F-value:(8.0, 7.0)
State: [[1, 2, 3], [4, 5, 6], [9, 7, 8]] Level: 7 F-value:(9.0, 2.0)
State: [[1, 2, 3], [4, 5, 6], [7, 9, 8]] Level: 8 F-value:(9.0, 1.0)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 9 F-value:(9.0, 0.0)
Time taken: 0.034998416900634766
