Search Path:
State: [[5, 9, 2], [6, 3, 4], [8, 7, 1]] Level: 0 F-value:(9, 9)
State: [[5, 9, 2], [6, 3, 4], [7, 8, 1]] Level: 1 F-value:(8, 7)
State: [[5, 2, 9], [6, 3, 4], [7, 8, 1]] Level: 2 F-value:(8, 6)
State: [[5, 2, 9], [6, 3, 1], [7, 8, 4]] Level: 3 F-value:(9, 6)
State: [[5, 2, 9], [6, 4, 3], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 2, 3], [6, 4, 9], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 3], [6, 4, 1], [7, 8, 9]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [4, 6, 1], [7, 8, 9]] Level: 6 F-value:(9, 3)
State: [[5, 2, 3], [4, 1, 6], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[5, 2, 3], [4, 6, 9], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [4, 9, 6], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[5, 2, 9], [4, 6, 3], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 9], [4, 3, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 2, 4], [6, 3, 9], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 2, 4], [6, 3, 1], [7, 8, 9]] Level: 4 F-value:(9, 5)
State: [[6, 2, 9], [5, 3, 4], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[6, 2, 9], [3, 5, 4], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 9], [3, 6, 4], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 2, 9], [3, 4, 6], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 9, 4], [6, 3, 2], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[6, 9, 2], [5, 3, 4], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[6, 9, 2], [3, 5, 4], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 9, 2], [6, 3, 1], [7, 8, 4]] Level: 2 F-value:(9, 7)
State: [[5, 9, 2], [3, 6, 4], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[5, 9, 2], [3, 4, 6], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 9, 2], [4, 3, 6], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 3, 2], [6, 9, 4], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[5, 2, 3], [6, 9, 4], [7, 8, 1]] Level: 3 F-value:(8, 5)
State: [[5, 2, 3], [6, 9, 1], [7, 8, 4]] Level: 4 F-value:(9, 5)
State: [[6, 2, 3], [5, 9, 4], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[6, 2, 3], [9, 5, 4], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 2, 3], [9, 6, 4], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 2, 3], [9, 4, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 9, 2], [6, 4, 3], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[5, 9, 2], [4, 6, 3], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[5, 9, 3], [4, 6, 2], [7, 8, 1]] Level: 4 F-value:(9, 5)
State: [[5, 9, 3], [4, 2, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 9, 3], [6, 4, 2], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[9, 5, 2], [6, 3, 4], [7, 8, 1]] Level: 2 F-value:(9, 7)
State: [[9, 2, 5], [6, 3, 4], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[9, 3, 2], [6, 5, 4], [7, 8, 1]] Level: 3 F-value:(9, 6)
State: [[9, 2, 3], [6, 5, 4], [7, 8, 1]] Level: 4 F-value:(8, 4)
State: [[9, 2, 3], [6, 5, 1], [7, 8, 4]] Level: 5 F-value:(9, 4)
State: [[5, 2, 9], [6, 3, 4], [8, 7, 1]] Level: 1 F-value:(9, 8)
State: [[6, 2, 3], [9, 5, 1], [7, 8, 4]] Level: 6 F-value:(10, 4)
State: [[5, 2, 3], [6, 1, 4], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[9, 2, 3], [5, 4, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[9, 2, 3], [4, 5, 6], [7, 8, 1]] Level: 7 F-value:(9, 2)
State: [[6, 2, 3], [5, 4, 1], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[6, 2, 3], [4, 5, 1], [7, 8, 9]] Level: 7 F-value:(9, 2)
State: [[9, 5, 3], [4, 2, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[5, 2, 3], [9, 6, 1], [7, 8, 4]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [9, 1, 6], [7, 8, 4]] Level: 6 F-value:(10, 4)
State: [[6, 2, 3], [5, 4, 9], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 3], [4, 5, 9], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[5, 3, 2], [4, 9, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [6, 1, 9], [7, 8, 4]] Level: 5 F-value:(10, 5)
State: [[6, 2, 3], [5, 9, 1], [7, 8, 4]] Level: 5 F-value:(10, 5)
State: [[9, 5, 2], [4, 3, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 3, 2], [4, 5, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[9, 2, 5], [4, 3, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[5, 2, 9], [4, 6, 1], [7, 8, 3]] Level: 5 F-value:(10, 5)
State: [[5, 2, 9], [4, 1, 6], [7, 8, 3]] Level: 6 F-value:(10, 4)
State: [[9, 2, 3], [6, 4, 5], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 2, 3], [4, 6, 5], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[9, 2, 4], [6, 5, 3], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[3, 2, 9], [5, 4, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[3, 2, 9], [4, 5, 6], [7, 8, 1]] Level: 6 F-value:(9, 3)
State: [[9, 2, 3], [6, 5, 4], [7, 1, 8]] Level: 5 F-value:(10, 5)
State: [[9, 2, 3], [7, 5, 4], [6, 8, 1]] Level: 5 F-value:(10, 5)
State: [[2, 9, 3], [6, 5, 4], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 9], [3, 5, 1], [7, 8, 4]] Level: 5 F-value:(10, 5)
State: [[9, 5, 3], [4, 6, 2], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 6, 3], [4, 5, 2], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[5, 6, 3], [4, 9, 2], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 4], [3, 5, 9], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 4], [3, 5, 1], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[3, 2, 9], [6, 5, 4], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 6, 1], [7, 8, 2]] Level: 5 F-value:(10, 5)
State: [[5, 9, 3], [4, 1, 6], [7, 8, 2]] Level: 6 F-value:(10, 4)
State: [[5, 2, 4], [3, 6, 1], [7, 8, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 4], [3, 1, 6], [7, 8, 9]] Level: 6 F-value:(10, 4)
State: [[5, 2, 4], [6, 1, 3], [7, 8, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 1], [6, 3, 4], [7, 8, 9]] Level: 5 F-value:(10, 5)
State: [[9, 2, 3], [5, 6, 4], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[6, 2, 4], [5, 3, 1], [7, 8, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [6, 8, 4], [7, 9, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 3], [6, 8, 4], [7, 1, 9]] Level: 5 F-value:(10, 5)
State: [[5, 2, 3], [6, 9, 4], [7, 1, 8]] Level: 4 F-value:(10, 6)
State: [[9, 5, 2], [3, 4, 6], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[9, 2, 5], [3, 4, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 4, 2], [3, 5, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 2, 4], [3, 5, 6], [7, 8, 1]] Level: 6 F-value:(10, 4)
State: [[5, 2, 3], [7, 9, 4], [6, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 4, 2], [3, 9, 6], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 4], [3, 9, 6], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 6, 2], [3, 5, 4], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[9, 2, 6], [3, 5, 4], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[3, 9, 2], [5, 4, 6], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[3, 9, 2], [4, 5, 6], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[5, 9, 3], [6, 2, 4], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[3, 9, 2], [6, 5, 4], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 9, 2], [3, 5, 1], [7, 8, 4]] Level: 4 F-value:(10, 6)
State: [[2, 5, 3], [6, 9, 4], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 9, 4], [3, 5, 2], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 1], [6, 3, 9], [7, 8, 4]] Level: 4 F-value:(10, 6)
State: [[6, 2, 9], [5, 4, 3], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 2, 9], [4, 5, 3], [7, 8, 1]] Level: 5 F-value:(9, 4)
State: [[6, 2, 9], [4, 5, 1], [7, 8, 3]] Level: 6 F-value:(10, 4)
State: [[9, 3, 4], [6, 5, 2], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[9, 4, 3], [6, 5, 2], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 2, 4], [6, 3, 5], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[5, 2, 9], [6, 4, 1], [7, 8, 3]] Level: 4 F-value:(10, 6)
State: [[9, 2, 5], [6, 4, 3], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[9, 2, 5], [4, 6, 3], [7, 8, 1]] Level: 5 F-value:(10, 5)
State: [[9, 2, 5], [6, 3, 1], [7, 8, 4]] Level: 4 F-value:(10, 6)
State: [[9, 2, 5], [3, 6, 4], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[9, 3, 2], [6, 5, 1], [7, 8, 4]] Level: 4 F-value:(10, 6)
State: [[9, 5, 3], [6, 4, 2], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 9, 3], [5, 4, 2], [7, 8, 1]] Level: 4 F-value:(10, 6)
State: [[6, 9, 3], [4, 5, 2], [7, 8, 1]] Level: 5 F-value:(9, 4)
