Search Path:
State: [[5, 9, 2], [6, 3, 4], [8, 7, 1]] Level: 0 F-value:(20, 20)
State: [[5, 3, 2], [6, 9, 4], [8, 7, 1]] Level: 1 F-value:(18, 17)
State: [[5, 3, 2], [6, 7, 4], [8, 9, 1]] Level: 2 F-value:(16, 14)
State: [[5, 3, 2], [6, 7, 1], [8, 9, 4]] Level: 3 F-value:(16, 13)
State: [[5, 3, 1], [6, 7, 2], [8, 9, 4]] Level: 4 F-value:(16, 12)
State: [[5, 1, 3], [6, 7, 2], [8, 9, 4]] Level: 5 F-value:(16, 11)
State: [[1, 5, 3], [6, 7, 2], [8, 9, 4]] Level: 6 F-value:(16, 10)
State: [[1, 5, 2], [6, 7, 3], [8, 9, 4]] Level: 7 F-value:(16, 9)
State: [[1, 2, 5], [6, 7, 3], [8, 9, 4]] Level: 8 F-value:(16, 8)
State: [[1, 2, 3], [6, 7, 5], [8, 9, 4]] Level: 9 F-value:(16, 7)
State: [[1, 2, 3], [6, 7, 4], [8, 9, 5]] Level: 10 F-value:(16, 6)
State: [[1, 2, 3], [6, 4, 7], [8, 9, 5]] Level: 11 F-value:(16, 5)
State: [[1, 2, 3], [4, 6, 7], [8, 9, 5]] Level: 12 F-value:(16, 4)
State: [[1, 2, 3], [4, 6, 5], [8, 9, 7]] Level: 13 F-value:(16, 3)
State: [[1, 2, 3], [4, 5, 6], [8, 9, 7]] Level: 14 F-value:(16, 2)
State: [[1, 2, 3], [4, 5, 6], [8, 7, 9]] Level: 15 F-value:(16, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 16 F-value:(16, 0)
Time taken: 0.051999568939208984
