Search Path:
State: [[9, 4, 5], [3, 1, 6], [2, 8, 7]] Level: 0 F-value:(7, 7)
State: [[9, 1, 5], [3, 4, 6], [2, 8, 7]] Level: 1 F-value:(8, 7)
State: [[1, 9, 5], [3, 4, 6], [2, 8, 7]] Level: 2 F-value:(8, 6)
State: [[1, 9, 5], [4, 3, 6], [2, 8, 7]] Level: 3 F-value:(8, 5)
State: [[9, 1, 5], [4, 3, 6], [2, 8, 7]] Level: 2 F-value:(8, 6)
State: [[3, 4, 5], [9, 1, 6], [2, 8, 7]] Level: 1 F-value:(8, 7)
State: [[9, 4, 5], [2, 1, 6], [3, 8, 7]] Level: 1 F-value:(8, 7)
State: [[9, 4, 5], [1, 3, 6], [2, 8, 7]] Level: 1 F-value:(8, 7)
State: [[1, 4, 5], [9, 3, 6], [2, 8, 7]] Level: 2 F-value:(8, 6)
State: [[9, 5, 4], [3, 1, 6], [2, 8, 7]] Level: 1 F-value:(8, 7)
State: [[9, 1, 4], [3, 5, 6], [2, 8, 7]] Level: 2 F-value:(8, 6)
State: [[1, 9, 4], [3, 5, 6], [2, 8, 7]] Level: 3 F-value:(8, 5)
State: [[4, 9, 5], [3, 1, 6], [2, 8, 7]] Level: 1 F-value:(8, 7)
State: [[3, 9, 5], [4, 1, 6], [2, 8, 7]] Level: 2 F-value:(8, 6)
State: [[1, 9, 4], [2, 5, 6], [3, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 4, 9], [3, 5, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 3, 5], [4, 9, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 5, 3], [4, 9, 6], [2, 8, 7]] Level: 5 F-value:(9, 4)
State: [[1, 9, 3], [4, 5, 6], [2, 8, 7]] Level: 6 F-value:(9, 3)
State: [[1, 5, 9], [4, 3, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 3, 9], [4, 5, 6], [2, 8, 7]] Level: 5 F-value:(9, 4)
State: [[3, 1, 4], [9, 5, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[1, 3, 4], [9, 5, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 4, 3], [9, 5, 6], [2, 8, 7]] Level: 5 F-value:(9, 4)
State: [[1, 4, 5], [3, 9, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[3, 5, 9], [4, 1, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[3, 1, 9], [4, 5, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[9, 5, 1], [4, 3, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[9, 3, 1], [4, 5, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
State: [[9, 1, 3], [4, 5, 6], [2, 8, 7]] Level: 5 F-value:(9, 4)
State: [[1, 5, 4], [9, 3, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[9, 1, 4], [2, 5, 6], [3, 8, 7]] Level: 3 F-value:(9, 6)
State: [[3, 1, 5], [4, 9, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[1, 5, 9], [3, 4, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[1, 9, 5], [2, 4, 6], [3, 8, 7]] Level: 3 F-value:(9, 6)
State: [[1, 9, 5], [4, 2, 6], [3, 8, 7]] Level: 4 F-value:(9, 5)
State: [[1, 2, 5], [4, 9, 6], [3, 8, 7]] Level: 5 F-value:(9, 4)
State: [[1, 4, 5], [2, 3, 6], [9, 8, 7]] Level: 3 F-value:(9, 6)
State: [[9, 3, 5], [4, 1, 6], [2, 8, 7]] Level: 3 F-value:(9, 6)
State: [[9, 5, 3], [4, 1, 6], [2, 8, 7]] Level: 4 F-value:(9, 5)
